Lincoln,          2008,          White,          Full-Size,          Rented due back in One Day
Buick,          2005,          White,          Full-Size,          Available
Cadillac,          2011,          Green,          Compact,          Available
Pontiac,          2007,          Yellow,          Full-Size,          Rented due back in Two Days
Pontiac,          1998,          Red,          Compact,          Rented due back in One Day
Buick,          2010,          Black,          Mid-Size,          Available
Lincoln,          2004,          Green,          Full-Size,          Rented due back in Two Days
Buick,          2006,          Black,          Full-Size,          Rented due back in Two Days
Ram,          2001,          Gray,          Full-Size,          Available
Ram,          2007,          Red,          Compact,          Available
Jeep,          2004,          Gray,          Mid-Size,          Available
Lincoln,          2008,          Green,          Mid-Size,          Rented due back in Three Days
Cadillac,          2007,          Green,          Mid-Size,          Available
Dodge,          2006,          White,          Full-Size,          Rented due back in More Than Three Days
Pontiac,          2008,          Blue,          Full-Size,          Available
Cadillac,          2000,          Yellow,          Full-Size,          Rented due back in More Than Three Days
Jeep,          2007,          White,          Mid-Size,          Rented due back in Less Than One Day
Ford,          2010,          Green,          Full-Size,          Available
Cadillac,          1999,          Yellow,          Compact,          Available
Buick,          2012,          Blue,          Mid-Size,          Rented due back in One Day
Pontiac,          1998,          Red,          Full-Size,          Rented due back in Less Than One Day
Buick,          2011,          Red,          Mid-Size,          Available
Buick,          2009,          Black,          Mid-Size,          Available
Dodge,          2004,          Blue,          Full-Size,          Rented due back in Less Than One Day
Ford,          1999,          White,          Compact,          Rented due back in More Than Three Days
Cadillac,          2008,          Gray,          Mid-Size,          Available
Cadillac,          2007,          Green,          Compact,          Rented due back in Three Days
Dodge,          1999,          Green,          Mid-Size,          Available
Ram,          2005,          Gray,          Full-Size,          Rented due back in More Than Three Days
Cadillac,          1998,          Green,          Full-Size,          Available
Cadillac,          2012,          Blue,          Compact,          Damaged undergoing repairs Less Than One Day
Ford,          1998,          Blue,          Mid-Size,          Available
Jeep,          2008,          Yellow,          Full-Size,          Rented due back in Three Days
Pontiac,          2004,          Black,          Compact,          Rented due back in More Than Three Days
Lincoln,          2001,          Gray,          Full-Size,          Rented due back in Less Than One Day
Jeep,          2005,          Green,          Full-Size,          Available
Buick,          2005,          Black,          Full-Size,          Available
Cadillac,          2011,          White,          Mid-Size,          Available
Dodge,          2003,          Red,          Full-Size,          Rented due back in One Day
Dodge,          2004,          Gray,          Mid-Size,          Available
Dodge,          2005,          White,          Compact,          Rented due back in Less Than One Day
Lincoln,          2009,          Red,          Full-Size,          Available
Jeep,          1999,          Black,          Full-Size,          Rented due back in Two Days
Dodge,          2005,          Black,          Compact,          Rented due back in Three Days
Buick,          2010,          Yellow,          Compact,          Available
Buick,          2011,          White,          Compact,          Rented due back in Less Than One Day
Ford,          2002,          Red,          Compact,          Available
Ford,          2009,          Black,          Full-Size,          Available
Ford,          2004,          Yellow,          Compact,          Rented due back in Three Days
Ram,          2001,          Red,          Mid-Size,          Available
Pontiac,          2004,          Red,          Full-Size,          Rented due back in More Than Three Days
Pontiac,          2000,          Red,          Full-Size,          Available
Ram,          2010,          Gray,          Mid-Size,          Rented due back in Two Days
Ram,          2007,          Green,          Compact,          Available
Buick,          2000,          Green,          Compact,          Rented due back in Three Days
